Category,Red-Flag Words / Phrases,Why It Gets Flagged
Earnings & Performance,"Adjusted, Normalized, Underlying, Pro forma, Excluding one-time items, Non-recurring, Before exceptional items",Often used to mask weak core performance or inflate profitability
Cash Flow & Liquidity,"Liquidity management, Cash conservation, Optimizing cash flows, Deferred payments, Refinancing, Roll-over of facilities",Indicates stress in cash generation and dependence on short-term funding
Debt & Leverage,"Covenant compliance, Waiver obtained, Renegotiated terms, Revised repayment schedule, Deleveraging initiatives",Signals lender pressure or weakening balance sheet strength
Exceptional Items,"Exceptional items, Extraordinary expense, Impairment, Restructuring cost, Provision reversal, One-time charge",Repeated usage suggests recurring losses being classified as non-recurring
Accounting Policy,"Change in accounting policy, Revised estimates, Management judgement, Assumptions, Fair value adjustment",Earnings can shift materially due to subjective assumptions
Legal & Regulatory,"Ongoing proceedings, Show-cause notice, Regulatory review, Contingent liability, No material impact expected",Potential hidden future liabilities or penalties
Governance & Management Tone,"Management expects, Management believes, Plans to explore, Evaluating options, Strategic alternatives",Vague forward-looking language replacing hard numbers
Segment Reporting,"Other segment, Residual, Corporate expenses, Reclassification, Restated figures",Used to bury underperforming segments
ESG Overcompensation,"Sustainability focus, Long-term value creation, Responsible growth, Net-zero ambition",May distract from weak financial fundamentals
Vague Linguistic Cues,"May, Could, Might, Expected to, Aims to, As appropriate, Where necessary",Reduces accountability and creates ambiguity
